State,Seat ID,Seat Name,Candidate Name,Candidate Party,Votes for Candidate,Total Votes Cast,% of total Votes,Candidate Win,Gender,Status,Pekerjaan
Johor,N.01,BULOH KASAP,ZAHARI SARIP,BN,9186,17495,5251,1,L,MNG,0
Johor,N.01,BULOH KASAP,NORSAMSU MOHD YUSOF,PKR,8309,17495,4749,0,L,KLH,0
Johor,N.02,JEMENTAH,CHIAM YOK MENG,BN,9335,27657,3375,0,L,KLH,0
Johor,N.02,JEMENTAH,TAN CHEN CHOON,PKR,16336,27657,5907,1,L,MNG,0
Johor,N.02,JEMENTAH,KHAIRUL FAIZI BIN AHMAD KAMIL,PAS,1986,27657,718,0,L,HD,0
Johor,N.03,PEMANIS,CIKGU MALA,PAS,2151,18396,1169,0,P,HD,0
Johor,N.03,PEMANIS,DR CHONG,PKR,8304,18396,4514,1,L,MNG,0
Johor,N.03,PEMANIS,KOO SHIAW LEE,BN,7941,18396,4317,0,L,KLH,0
Johor,N.04,KEMELAH,DR SULAIMAN MOHD NOR,PKR,10836,19317,5610,1,L,MNG,0
Johor,N.04,KEMELAH,ANUAR BIN ABD. MANAP,BN,8481,19317,4390,0,L,KLH,0
Johor,N.05,TENANG,SOLIHAN BADRI,PKR,7645,15014,5092,1,L,MNG,0
Johor,N.05,TENANG,MOHD AZAHAR BIN IBRAHIM,BN,6575,15014,4379,0,L,KLH,0
Johor,N.05,TENANG,USTAZ NASHARUDIN BIN AWANG,PAS,794,15014,529,0,L,HD,0
Johor,N.06,BEKOK,DR S.RAMAKRISHNAN,PKR,9705,16953,5725,1,L,MNG,0
Johor,N.06,BEKOK,TAN CHONG,BN,7248,16953,4275,0,L,KLH,0
Johor,N.07,BUKIT KEPONG,DR SAHRUDDIN BIN JAMAL,PKR,11665,23818,4898,1,L,MNG,0
Johor,N.07,BUKIT KEPONG,HJ MOHD NOOR BIN TAIB,BN,10392,23818,4363,0,L,KLH,0
Johor,N.07,BUKIT KEPONG,IQBAL RAZAK,PAS,1761,23818,739,0,L,HD,0
Johor,N.08,BUKIT PASIR,KAPT (B) HJ NAJIB BIN LEP,PAS,9835,17787,5529,1,L,MNG,0
Johor,N.08,BUKIT PASIR,NORIAH BINTI MAHAT,BN,7952,17787,4471,0,P,KLH,0
Johor,N.09,GAMBIR,DATUK M. ASOJAN,BN,7192,19278,3731,0,L,KLH,0
Johor,N.09,GAMBIR,TAN SRI MUHYIDDIN YASSIN,PKR,10280,19278,5333,1,L,MNG,0
Johor,N.09,GAMBIR,DATO DR MAHFODZ BIN MOHAMED,PAS,1806,19278,937,0,L,HD,0
Johor,N.10,TANGKAK,EE CHIN LI,PKR,13512,21947,6157,1,L,MNG,0
Johor,N.10,TANGKAK,GOH TEE TEE,BN,8435,21947,3843,0,L,KLH,0
Johor,N.11,SEROM,ABDULL RAHIM BIN TALIB,BN,9450,23932,3949,0,L,KLH,0
Johor,N.11,SEROM,DR FAIZUL AMRI ADNAN,PKR,11774,23932,4920,1,L,MNG,0
Johor,N.11,SEROM,MUSTAFFA BIN SALLEH,PAS,2708,23932,1132,0,L,HD,0
Johor,N.12,BENTAYAN,NG YAK HOWE,PKR,18278,22927,7972,1,L,MNG,0
Johor,N.12,BENTAYAN,LEE KIM HENG,BN,4649,22927,2028,0,L,KLH,0
Johor,N.13,SIMPANG JERAM,AHMAD HASHIM,BEBAS - POKOK,28,23757,12,0,L,HD,0
